2000	FIFA World Cup	WC		2019-02-15 21:08:11	2019-02-15 21:08:11
2001	UEFA Champions League	CL	https://upload.wikimedia.org/wikipedia/en/b/bf/UEFA_Champions_League_logo_2.svg	2019-02-15 21:07:15	2019-02-15 21:07:15
2002	Bundesliga	BL1		2019-02-15 21:07:36	2019-02-15 21:07:36
2003	Eredivisie	DED		2019-02-15 21:07:50	2019-02-15 21:07:50
2013	Série A	BSA		2019-02-15 21:06:54	2019-02-15 21:06:54
2014	Primera Division	PD		2019-02-15 21:08:04	2019-02-15 21:08:04
2015	Ligue 1	FL1		2019-02-15 21:07:29	2019-02-15 21:07:29
2016	Championship	ELC		2019-02-15 21:07:01	2019-02-15 21:07:01
2017	Primeira Liga	PPL		2019-02-15 21:07:57	2019-02-15 21:07:57
2018	European Championship	EC		2019-02-15 21:07:22	2019-02-15 21:07:22
2019	Serie A	SA		2019-02-15 21:07:43	2019-02-15 21:07:43
2021	Premier League	PL		2019-02-15 21:07:08	2019-02-15 21:07:08
